2025-05-21 05:40:08.651 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 05:56:15.036 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 07:05:00.267 UTC ERROR root: ConnectionError - Connection error: ('Connection aborted.', TimeoutError(60, 'Operation timed out'))
2025-05-21 08:11:37.993 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 08:54:54.849 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 09:22:28.091 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 09:55:30.177 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 10:55:31.336 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 12:20:22.601 UTC ERROR root: ConnectionError - Connection error: ('Connection aborted.', TimeoutError(60, 'Operation timed out'))
2025-05-21 13:23:44.793 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 13:40:07.787 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 15:04:24.665 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 15:21:21.058 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 16:29:19.844 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 16:46:40.017 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 17:53:55.700 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 18:09:58.518 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 19:02:59.103 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 19:35:34.058 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 20:56:02.908 UTC ERROR root: ConnectionError - Connection error: ('Connection aborted.', TimeoutError(60, 'Operation timed out'))
2025-05-21 22:02:28.672 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 22:32:25.097 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 23:06:35.041 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-21 23:30:54.795 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-22 00:40:07.288 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-22 09:11:23.285 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-22 10:18:20.362 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
